Metric,Category,Subcategory,Count,Strict Accuracy,Loose Accuracy
unary,Points-unary,Existence,109,0.926605504587156,0.926605504587156
unary,Points-unary,Quantity,115,0.40869565217391307,0.40869565217391307
unary,Points-unary,Size Property,0,-,-
unary,Line Segment-unary,Existence,110,0.6272727272727273,0.6272727272727273
unary,Line Segment-unary,Quantity,102,0.38235294117647056,0.38235294117647056
unary,Line Segment-unary,Size Property,115,0.5391304347826087,0.5391304347826087
unary,Angle-unary,Existence,100,0.68,0.68
unary,Angle-unary,Quantity,93,0.3010752688172043,0.3010752688172043
unary,Angle-unary,Size Property,135,0.6074074074074074,0.6074074074074074
unary,Triangle-unary,Existence,100,0.56,0.56
unary,Triangle-unary,Quantity,100,0.31,0.31
unary,Triangle-unary,Size Property,58,0.3103448275862069,0.3103448275862069
unary,Circle-unary,Existence,100,0.59,0.59
unary,Circle-unary,Quantity,94,0.5425531914893617,0.5425531914893617
unary,Circle-unary,Size Property,43,0.37209302325581395,0.37209302325581395
unary,Polygon-unary,Existence,59,0.7457627118644068,0.7457627118644068
unary,Polygon-unary,Quantity,23,0.17391304347826086,0.17391304347826086
unary,Polygon-unary,Size Property,0,-,-
unary,Arc-unary,Existence,40,0.6,0.6
unary,Arc-unary,Quantity,9,0.0,0.0
unary,Arc-unary,Size Property,5,0.6,0.6
unary,Sector-unary,Existence,18,0.6666666666666666,0.6666666666666666
unary,Sector-unary,Quantity,7,0.14285714285714285,0.14285714285714285
unary,Sector-unary,Size Property,1,0.0,0.0
binary,Points,Points,107,0.4392523364485981,0.4392523364485981
binary,Points,LineSegment,104,0.34615384615384615,0.34615384615384615
binary,Points,Angle,128,0.578125,0.578125
binary,Points,Triangle,101,0.43564356435643564,0.43564356435643564
binary,Points,Circle,100,0.48,0.48
binary,Points,Polygon,106,0.24528301886792453,0.24528301886792453
binary,LineSegment,LineSegment,113,0.5575221238938053,0.5575221238938053
binary,LineSegment,Angle,101,0.5742574257425742,0.5742574257425742
binary,LineSegment,Triangle,101,0.44554455445544555,0.44554455445544555
binary,LineSegment,Circle,120,0.45,0.45
binary,LineSegment,Polygon,63,0.6190476190476191,0.6190476190476191
binary,Angle,Angle,107,0.5700934579439252,0.5794392523364486
binary,Angle,Triangle,99,0.40404040404040403,0.40404040404040403
binary,Angle,Circle,94,0.6063829787234043,0.6063829787234043
binary,Angle,Polygon,71,0.4507042253521127,0.4507042253521127
binary,Triangle,Triangle,96,0.4791666666666667,0.4791666666666667
binary,Triangle,Circle,108,0.48148148148148145,0.48148148148148145
binary,Triangle,Polygon,85,0.7294117647058823,0.7294117647058823
binary,Circle,Circle,26,0.6923076923076923,0.6923076923076923
binary,Circle,Polygon,85,0.21176470588235294,0.21176470588235294
binary,Polygon,Polygon,46,0.45652173913043476,0.45652173913043476
answer_type,choose,-,2703,0.5253422123566408,0.5257121716611173
answer_type,free-form,-,794,0.42317380352644834,0.42317380352644834
special_case,wrongprerequisite,-,135,0.0,0.5703703703703704
special_case,not given,-,84,0.4880952380952381,0.5
special_case,normal,-,3413,0.5024904775857018,0.5024904775857018
id,1,-,109,0.926605504587156,0.926605504587156
id,2,-,115,0.40869565217391307,0.40869565217391307
id,3,-,69,0.6376811594202898,0.6376811594202898
id,4,-,41,0.6097560975609756,0.6097560975609756
id,5,-,102,0.38235294117647056,0.38235294117647056
id,6,-,115,0.5391304347826087,0.5391304347826087
id,7,-,100,0.68,0.68
id,8,-,75,0.28,0.28
id,9,-,87,0.6206896551724138,0.6206896551724138
id,10,-,48,0.5833333333333334,0.5833333333333334
id,11,-,100,0.56,0.56
id,12,-,47,0.3617021276595745,0.3617021276595745
id,13,-,53,0.2641509433962264,0.2641509433962264
id,14,-,23,0.5217391304347826,0.5217391304347826
id,15,-,35,0.17142857142857143,0.17142857142857143
id,16,-,61,0.45901639344262296,0.45901639344262296
id,17,-,39,0.7948717948717948,0.7948717948717948
id,18,-,43,0.7674418604651163,0.7674418604651163
id,19,-,35,0.2857142857142857,0.2857142857142857
id,20,-,16,0.5,0.5
id,21,-,43,0.37209302325581395,0.37209302325581395
id,22,-,59,0.7457627118644068,0.7457627118644068
id,23,-,13,0.15384615384615385,0.15384615384615385
id,24,-,40,0.6,0.6
id,25,-,9,0.0,0.0
id,26,-,5,0.6,0.6
id,27,-,18,0.6666666666666666,0.6666666666666666
id,28,-,7,0.14285714285714285,0.14285714285714285
id,29,-,57,0.17543859649122806,0.17543859649122806
id,30,-,50,0.74,0.74
id,31,-,59,0.3728813559322034,0.3728813559322034
id,32,-,45,0.3111111111111111,0.3111111111111111
id,33,-,53,0.6415094339622641,0.6415094339622641
id,34,-,75,0.5333333333333333,0.5333333333333333
id,35,-,101,0.43564356435643564,0.43564356435643564
id,36,-,100,0.48,0.48
id,37,-,106,0.24528301886792453,0.24528301886792453
id,38,-,52,0.7115384615384616,0.7115384615384616
id,39,-,40,0.375,0.375
id,40,-,101,0.5742574257425742,0.5742574257425742
id,41,-,73,0.4246575342465753,0.4246575342465753
id,42,-,28,0.5,0.5
id,43,-,36,0.2777777777777778,0.2777777777777778
id,44,-,28,0.5357142857142857,0.5357142857142857
id,45,-,14,0.5,0.5
id,46,-,32,0.46875,0.46875
id,47,-,10,0.7,0.7
id,48,-,63,0.6190476190476191,0.6190476190476191
id,49,-,59,0.5084745762711864,0.5084745762711864
id,50,-,15,0.8,0.8
id,51,-,13,0.5384615384615384,0.5384615384615384
id,52,-,20,0.6,0.65
id,53,-,54,0.3148148148148148,0.3148148148148148
id,54,-,45,0.5111111111111111,0.5111111111111111
id,55,-,52,0.6153846153846154,0.6153846153846154
id,56,-,42,0.5952380952380952,0.5952380952380952
id,57,-,71,0.4507042253521127,0.4507042253521127
id,58,-,48,0.4583333333333333,0.4583333333333333
id,59,-,26,0.6538461538461539,0.6538461538461539
id,60,-,26,0.6923076923076923,0.6923076923076923
id,61,-,20,0.0,0.0
id,62,-,14,0.14285714285714285,0.14285714285714285
id,63,-,96,0.4791666666666667,0.4791666666666667
id,64,-,85,0.7294117647058823,0.7294117647058823
id,65,-,46,0.45652173913043476,0.45652173913043476
id,66,-,34,0.38235294117647056,0.38235294117647056
id,67,-,51,0.3137254901960784,0.3137254901960784
id,68,-,0,-,-
id,69,-,1,0.0,0.0
id,70,-,10,0.2,0.2
id,71,-,21,0.5238095238095238,0.5238095238095238
id,72,-,18,0.3888888888888889,0.3888888888888889
image,synthetic,-,2516,0.48171701112877585,0.48171701112877585
image,mathverse,-,981,0.5545361875637105,0.5555555555555556
